"RunId","GroupId","Spec","Title","Test Status","Expected Status","Attempt #","Attempt Duration","Attempt Status","Attempt Start Time","Attempt Error"
"5438b418d431bae7","chromium-desktop","waitlist-functional.spec.ts","Waitlist API Validation,normalizes domain case (case-insensitive uniqueness)","pending","skipped","0","0","skipped","2025-10-13T09:26:43.225Z",""
"5438b418d431bae7","chromium-desktop","waitlist-functional.spec.ts","Waitlist API Validation,is idempotent on duplicate domain (different emails)","pending","skipped","0","0","skipped","2025-10-13T09:26:43.224Z",""
"5438b418d431bae7","chromium-desktop","waitlist-functional.spec.ts","Waitlist API Validation,rejects invalid email format","pending","skipped","0","0","skipped","2025-10-13T09:26:43.221Z",""
"5438b418d431bae7","chromium-desktop","waitlist-functional.spec.ts","Waitlist API Validation,rejects missing domain","pending","skipped","0","0","skipped","2025-10-13T09:26:43.222Z",""
"5438b418d431bae7","chromium-desktop","waitlist-functional.spec.ts","Waitlist Form Functionality,should show error for invalid email in modal","pending","skipped","0","0","skipped","2025-10-13T09:26:43.227Z",""
"5438b418d431bae7","chromium-desktop","waitlist-functional.spec.ts","Waitlist Form Functionality,should handle duplicate signups (domain-based uniqueness)","pending","skipped","0","0","skipped","2025-10-13T09:26:43.227Z",""
"5438b418d431bae7","chromium-desktop","waitlist-functional.spec.ts","Waitlist Form Functionality,should successfully submit waitlist form via modal","pending","skipped","0","0","skipped","2025-10-13T09:26:43.227Z",""
"5438b418d431bae7","firefox-desktop","waitlist-functional.spec.ts","Waitlist API Validation,rejects invalid email format","pending","skipped","0","0","skipped","2025-10-13T09:27:50.090Z",""
"5438b418d431bae7","firefox-desktop","waitlist-functional.spec.ts","Waitlist API Validation,rejects missing domain","pending","skipped","0","0","skipped","2025-10-13T09:27:50.090Z",""
"5438b418d431bae7","firefox-desktop","waitlist-functional.spec.ts","Waitlist API Validation,normalizes domain case (case-insensitive uniqueness)","pending","skipped","0","0","skipped","2025-10-13T09:27:50.091Z",""
"5438b418d431bae7","firefox-desktop","waitlist-functional.spec.ts","Waitlist Form Functionality,should handle duplicate signups (domain-based uniqueness)","pending","skipped","0","0","skipped","2025-10-13T09:27:50.092Z",""
"5438b418d431bae7","firefox-desktop","waitlist-functional.spec.ts","Waitlist Form Functionality,should successfully submit waitlist form via modal","pending","skipped","0","0","skipped","2025-10-13T09:27:50.091Z",""
"5438b418d431bae7","firefox-desktop","waitlist-functional.spec.ts","Waitlist Form Functionality,should show error for invalid email in modal","pending","skipped","0","0","skipped","2025-10-13T09:27:50.091Z",""
"5438b418d431bae7","firefox-desktop","waitlist-functional.spec.ts","Waitlist API Validation,is idempotent on duplicate domain (different emails)","pending","skipped","0","0","skipped","2025-10-13T09:27:50.091Z",""
"5438b418d431bae7","webkit-desktop","waitlist-functional.spec.ts","Waitlist API Validation,is idempotent on duplicate domain (different emails)","pending","skipped","0","0","skipped","2025-10-13T09:28:39.226Z",""
"5438b418d431bae7","webkit-desktop","waitlist-functional.spec.ts","Waitlist API Validation,rejects missing domain","pending","skipped","0","0","skipped","2025-10-13T09:28:39.225Z",""
"5438b418d431bae7","webkit-desktop","waitlist-functional.spec.ts","Waitlist API Validation,rejects invalid email format","pending","skipped","0","0","skipped","2025-10-13T09:28:39.221Z",""
"5438b418d431bae7","webkit-desktop","waitlist-functional.spec.ts","Waitlist Form Functionality,should show error for invalid email in modal","pending","skipped","0","0","skipped","2025-10-13T09:28:39.226Z",""
"5438b418d431bae7","webkit-desktop","waitlist-functional.spec.ts","Waitlist Form Functionality,should successfully submit waitlist form via modal","pending","skipped","0","0","skipped","2025-10-13T09:28:39.226Z",""
"5438b418d431bae7","webkit-desktop","waitlist-functional.spec.ts","Waitlist API Validation,normalizes domain case (case-insensitive uniqueness)","pending","skipped","0","0","skipped","2025-10-13T09:28:39.226Z",""
"5438b418d431bae7","webkit-desktop","waitlist-functional.spec.ts","Waitlist Form Functionality,should handle duplicate signups (domain-based uniqueness)","pending","skipped","0","0","skipped","2025-10-13T09:28:39.226Z",""
"5438b418d431bae7","chromium-mobile","waitlist-functional.spec.ts","Waitlist API Validation,rejects invalid email format","pending","skipped","0","0","skipped","2025-10-13T09:29:16.913Z",""
"5438b418d431bae7","chromium-mobile","waitlist-functional.spec.ts","Waitlist API Validation,normalizes domain case (case-insensitive uniqueness)","pending","skipped","0","0","skipped","2025-10-13T09:29:16.913Z",""
"5438b418d431bae7","chromium-mobile","waitlist-functional.spec.ts","Waitlist API Validation,rejects missing domain","pending","skipped","0","0","skipped","2025-10-13T09:29:16.913Z",""
"5438b418d431bae7","chromium-mobile","waitlist-functional.spec.ts","Waitlist API Validation,is idempotent on duplicate domain (different emails)","pending","skipped","0","0","skipped","2025-10-13T09:29:16.913Z",""
"5438b418d431bae7","chromium-mobile","waitlist-functional.spec.ts","Waitlist Form Functionality,should successfully submit waitlist form via modal","pending","skipped","0","0","skipped","2025-10-13T09:29:16.913Z",""
"5438b418d431bae7","chromium-mobile","waitlist-functional.spec.ts","Waitlist Form Functionality,should show error for invalid email in modal","pending","skipped","0","0","skipped","2025-10-13T09:29:16.913Z",""
"5438b418d431bae7","chromium-mobile","waitlist-functional.spec.ts","Waitlist Form Functionality,should handle duplicate signups (domain-based uniqueness)","pending","skipped","0","0","skipped","2025-10-13T09:29:16.913Z",""
"5438b418d431bae7","webkit-mobile","waitlist-functional.spec.ts","Waitlist API Validation,rejects missing domain","pending","skipped","0","0","skipped","2025-10-13T09:29:57.203Z",""
"5438b418d431bae7","webkit-mobile","waitlist-functional.spec.ts","Waitlist API Validation,rejects invalid email format","pending","skipped","0","0","skipped","2025-10-13T09:29:57.202Z",""
"5438b418d431bae7","webkit-mobile","waitlist-functional.spec.ts","Waitlist API Validation,is idempotent on duplicate domain (different emails)","pending","skipped","0","0","skipped","2025-10-13T09:29:57.203Z",""
"5438b418d431bae7","webkit-mobile","waitlist-functional.spec.ts","Waitlist Form Functionality,should successfully submit waitlist form via modal","pending","skipped","0","0","skipped","2025-10-13T09:29:57.203Z",""
"5438b418d431bae7","webkit-mobile","waitlist-functional.spec.ts","Waitlist Form Functionality,should show error for invalid email in modal","pending","skipped","0","0","skipped","2025-10-13T09:29:57.203Z",""
"5438b418d431bae7","webkit-mobile","waitlist-functional.spec.ts","Waitlist API Validation,normalizes domain case (case-insensitive uniqueness)","pending","skipped","0","0","skipped","2025-10-13T09:29:57.203Z",""
"5438b418d431bae7","webkit-mobile","waitlist-functional.spec.ts","Waitlist Form Functionality,should handle duplicate signups (domain-based uniqueness)","pending","skipped","0","0","skipped","2025-10-13T09:29:57.203Z",""
"5438b418d431bae7","chromium-desktop","utm-validation.spec.ts","UTM Parameter Validation,Valid UTM flow,should display purchase page with valid UTM","passed","passed","0","2064","passed","2025-10-13T09:26:40.446Z",""
"5438b418d431bae7","chromium-desktop","utm-validation.spec.ts","UTM Parameter Validation,Valid UTM flow,should persist purchase mode on homepage with valid UTM","passed","passed","0","1403","passed","2025-10-13T09:26:40.880Z",""
"5438b418d431bae7","chromium-desktop","utm-validation.spec.ts","UTM Parameter Validation,Invalid UTM handling,should redirect to homepage with missing UTM on protected page","passed","passed","0","895","passed","2025-10-13T09:26:41.691Z",""
"5438b418d431bae7","chromium-desktop","utm-validation.spec.ts","UTM Parameter Validation,Invalid UTM handling,should show expiration page for expired UTM","passed","passed","0","939","passed","2025-10-13T09:26:42.398Z",""
"5438b418d431bae7","chromium-desktop","utm-validation.spec.ts","UTM Parameter Validation,Invalid UTM handling,should redirect for tampered UTM","passed","passed","0","893","passed","2025-10-13T09:26:42.417Z",""
"5438b418d431bae7","chromium-desktop","utm-validation.spec.ts","UTM Parameter Validation,One-time use enforcement,should prevent reuse of UTM token","pending","skipped","0","0","skipped","2025-10-13T09:26:42.702Z",""
"5438b418d431bae7","chromium-desktop","utm-validation.spec.ts","UTM Parameter Validation,Edge cases,should handle very long UTM parameters","passed","passed","0","802","passed","2025-10-13T09:26:42.720Z",""
"5438b418d431bae7","chromium-desktop","utm-validation.spec.ts","UTM Parameter Validation,Edge cases,should handle malformed UTM gracefully","passed","passed","0","2820","passed","2025-10-13T09:26:42.703Z",""
"5438b418d431bae7","firefox-desktop","utm-validation.spec.ts","UTM Parameter Validation,Valid UTM flow,should display purchase page with valid UTM","passed","passed","0","3235","passed","2025-10-13T09:27:44.061Z",""
"5438b418d431bae7","firefox-desktop","utm-validation.spec.ts","UTM Parameter Validation,Valid UTM flow,should persist purchase mode on homepage with valid UTM","passed","passed","0","4410","passed","2025-10-13T09:27:46.456Z",""
